Datetime,Resolution code,Offshore/onshore,Region,Grid connection type,Measured & Upscaled,Most recent forecast,Most recent P10,Most recent P90,Day Ahead 11AM forecast,Day Ahead 11AM P10,Day Ahead 11AM P90,Day-ahead 6PM forecast,Day-ahead 6PM P10,Day-ahead 6PM P90,Week-ahead forecast,Week-ahead P10,Week-ahead P90,Monitored capacity,Load factor,Decremental bid Indicator
18-01-2018 13:30,PT15M,Onshore,Flanders,Dso,558.93,580.42,425.8,729.19,684.31,517.14,837.91,688.16,516.35,845.29,561.27,301.6,815.63,990.66,0.56,''
18-01-2018 13:30,PT15M,Offshore,Federal,Elia,829.29,811.03,747.42,859.87,744.57,643.41,829.4,695.22,583.33,792.73,512.36,385.58,632.99,877.2,0.95,''
18-01-2018 13:30,PT15M,Onshore,Wallonia,Elia,58.81,76.92,53.35,99.88,83.81,53.87,103.06,85.51,54.8,102.97,74.15,43.49,100.5,104.5,0.56,''
18-01-2018 13:15,PT15M,Onshore,Wallonia,Elia,78.36,78.19,55.68,99.89,85.64,56.67,103.31,86.94,57.09,103.28,74.52,44.1,100.53,104.5,0.75,''
18-01-2018 13:15,PT15M,Onshore,Wallonia,Dso,408.36,386.8,286.27,481.42,463.09,355.29,549.47,464.23,356.03,550.4,405.65,256.09,532.67,595.7,0.69,''
18-01-2018 13:15,PT15M,Onshore,Flanders,Dso,612.05,585.43,430.32,734.13,698.27,534.63,846.28,700.91,531.95,853.11,563.94,305.19,817.2,990.66,0.62,''
18-01-2018 13:15,PT15M,Offshore,Federal,Elia,827.36,798.33,734.6,850.11,720.29,627.9,801.52,656.46,546.21,757.98,536.56,404.67,655.8,877.2,0.94,''
18-01-2018 13:15,PT15M,Onshore,Flanders,Elia,39.86,36.13,28.41,43.76,41.83,32.79,47.59,41.17,32.67,47.5,33.24,18.31,47.39,53.86,0.74,''
18-01-2018 13:00,PT15M,Onshore,Flanders,Elia,40.49,35.87,28.23,43.47,42.41,33.7,47.74,41.44,33.19,47.69,33.28,18.37,47.28,53.86,0.75,''
18-01-2018 13:00,PT15M,Onshore,Flanders,Dso,633.42,590.43,434.84,739.06,712.23,552.1,854.66,713.66,547.53,860.93,566.6,308.78,818.77,990.66,0.64,''
18-01-2018 13:00,PT15M,Onshore,Wallonia,Dso,432.88,390.3,292.76,481.89,468.53,364.31,550.52,469.3,365.4,550.67,407.63,258.93,533.16,595.7,0.73,''
18-01-2018 13:00,PT15M,Onshore,Wallonia,Elia,75.51,79.46,58,99.91,87.46,59.46,103.55,88.38,59.37,103.59,74.89,44.71,100.55,104.5,0.72,''
18-01-2018 13:00,PT15M,Offshore,Federal,Elia,834.35,785.63,721.78,840.36,696.01,612.39,773.65,617.69,509.08,723.24,560.75,423.77,678.6,877.2,0.95,''
18-01-2018 12:45,PT15M,Onshore,Wallonia,Dso,418.44,391.74,297.07,481.43,472.85,373.11,550.41,473.29,374.29,550,409.41,261.24,534.05,595.7,0.7,''
18-01-2018 12:45,PT15M,Onshore,Flanders,Dso,615.58,590.68,436.55,738.19,721.63,564.65,859.67,722.2,559.28,865.08,568.98,311.98,820.14,990.66,0.62,''
18-01-2018 12:45,PT15M,Offshore,Federal,Elia,832.29,741.84,671.65,801.9,658.32,580.82,732.85,569.96,463.29,676.43,585.55,443.4,703.81,877.2,0.95,''
18-01-2018 12:45,PT15M,Onshore,Wallonia,Elia,74.84,80.64,60.16,99.65,89.01,62.18,103.57,89.7,61.73,103.65,75.24,45.27,100.57,104.5,0.72,''
18-01-2018 12:45,PT15M,Onshore,Flanders,Elia,40.16,34.97,27.44,42.52,42.52,34.06,47.78,41.45,33.37,47.73,33.29,18.42,47.24,53.86,0.75,''
18-01-2018 12:30,PT15M,Onshore,Wallonia,Elia,86.85,81.71,62.14,99.13,90.29,64.83,103.35,90.92,64.18,103.44,75.57,45.77,100.56,104.5,0.83,''
18-01-2018 12:30,PT15M,Onshore,Wallonia,Dso,438.45,391.15,299.21,480.03,476.04,381.68,549.15,476.19,382.7,548.38,410.98,262.99,535.31,595.7,0.74,''
18-01-2018 12:30,PT15M,Onshore,Flanders,Elia,40.72,33.44,26.03,40.89,42.15,33.86,47.73,41.21,33.21,47.63,33.28,18.45,47.26,53.86,0.76,''
18-01-2018 12:30,PT15M,Onshore,Flanders,Dso,653.65,586.15,435.46,731.5,726.49,572.27,861.32,726.55,567.2,865.59,571.09,314.78,821.3,990.66,0.66,''
18-01-2018 12:30,PT15M,Offshore,Federal,Elia,829.38,666.93,584.22,734.73,607.22,533.18,679.14,513.28,408.84,617.57,610.97,463.57,731.42,877.2,0.95,''
18-01-2018 12:15,PT15M,Onshore,Flanders,Dso,609.96,581.63,434.37,724.82,731.34,579.87,862.96,730.9,575.12,866.08,573.2,317.58,822.46,990.66,0.62,''
18-01-2018 12:15,PT15M,Onshore,Wallonia,Dso,412.5,390.55,301.35,478.63,479.23,390.25,547.88,479.09,391.11,546.77,412.57,264.75,536.57,595.7,0.69,''
18-01-2018 12:15,PT15M,Offshore,Federal,Elia,826.67,592.03,496.78,667.57,556.13,485.55,625.43,456.59,354.39,558.71,636.39,483.74,759.04,877.2,0.94,''
18-01-2018 12:15,PT15M,Onshore,Flanders,Elia,39.23,31.92,24.63,39.26,41.79,33.65,47.68,40.96,33.05,47.53,33.27,18.48,47.28,53.86,0.73,''
18-01-2018 12:15,PT15M,Onshore,Wallonia,Elia,86.58,82.78,64.13,98.6,91.56,67.49,103.14,92.14,66.62,103.24,75.91,46.27,100.56,104.5,0.83,''
18-01-2018 12:00,PT15M,Onshore,Wallonia,Elia,90.76,83.85,66.11,98.08,92.84,70.14,102.92,93.36,69.06,103.04,76.25,46.78,100.56,104.5,0.87,''
18-01-2018 12:00,PT15M,Onshore,Flanders,Dso,597.47,577.1,433.27,718.13,736.2,587.49,864.61,735.25,583.04,866.59,575.31,320.38,823.62,990.66,0.6,''
18-01-2018 12:00,PT15M,Offshore,Federal,Elia,826.67,517.13,409.35,600.41,505.03,437.92,571.72,399.9,299.94,499.84,661.8,503.91,786.65,877.2,0.94,''
18-01-2018 12:00,PT15M,Onshore,Wallonia,Dso,397.98,389.95,303.49,477.22,482.43,398.82,546.62,481.99,399.52,545.16,414.15,266.51,537.83,595.7,0.67,''
18-01-2018 12:00,PT15M,Onshore,Flanders,Elia,38.88,30.39,23.23,37.63,41.43,33.45,47.62,40.72,32.9,47.43,33.26,18.51,47.3,53.86,0.72,''
18-01-2018 11:45,PT15M,Onshore,Flanders,Elia,38.2,28.69,21.66,36.18,41,33.26,47.31,40.4,32.75,47.15,33.27,18.55,47.32,53.86,0.71,''
18-01-2018 11:45,PT15M,Onshore,Wallonia,Elia,88.98,83.75,67.22,97.04,93.69,72.77,102.64,94.13,71.66,102.79,76.51,47.18,100.54,104.5,0.85,''
18-01-2018 11:45,PT15M,Offshore,Federal,Elia,828.19,455.68,338.85,544.47,461.49,393.3,529.69,362.59,263.5,461.66,682.25,520.01,807.9,877.2,0.94,''
18-01-2018 11:45,PT15M,Onshore,Flanders,Dso,575.84,571.26,431.77,712.83,739.48,595.48,863.51,738.6,591.66,865.11,576.57,322.32,823.07,990.66,0.58,''
18-01-2018 11:45,PT15M,Onshore,Wallonia,Dso,382.75,387.77,304.25,476.02,484.11,405.15,544.76,484.22,406.35,543.84,415.45,267.74,538.61,595.7,0.64,''
18-01-2018 11:30,PT15M,Offshore,Federal,Elia,829.67,407.67,285.29,499.76,425.51,351.68,499.34,344.64,245.07,444.17,697.74,532.03,822.8,877.2,0.95,''
18-01-2018 11:30,PT15M,Onshore,Wallonia,Elia,92.82,82.5,67.44,95.5,94.1,75.37,102.3,94.46,74.43,102.49,76.71,47.49,100.5,104.5,0.89,''
18-01-2018 11:30,PT15M,Onshore,Flanders,Elia,38.65,26.81,19.93,34.9,40.5,33.06,46.75,40,32.62,46.69,33.28,18.6,47.32,53.86,0.72,''
18-01-2018 11:30,PT15M,Onshore,Flanders,Dso,598.96,564.09,429.86,708.91,741.2,603.87,859.68,740.96,600.96,861.66,576.96,323.4,820.82,990.66,0.6,''
18-01-2018 11:30,PT15M,Onshore,Wallonia,Dso,392.39,383.99,303.63,475.04,484.28,409.23,542.3,485.77,411.6,542.82,416.45,268.47,538.91,595.7,0.66,''
18-01-2018 11:15,PT15M,Onshore,Wallonia,Dso,381.19,380.21,303.01,474.05,484.46,413.31,539.84,487.33,416.84,541.8,417.47,269.19,539.21,595.7,0.64,''
18-01-2018 11:15,PT15M,Offshore,Federal,Elia,829.67,359.67,231.73,455.05,389.52,310.07,468.98,326.7,226.65,426.68,713.22,544.06,837.7,877.2,0.95,''
18-01-2018 11:15,PT15M,Onshore,Flanders,Dso,585.29,556.92,427.93,704.99,742.92,612.25,855.84,743.31,610.26,858.21,577.35,324.49,818.57,990.66,0.59,''
18-01-2018 11:15,PT15M,Onshore,Wallonia,Elia,93.73,81.24,67.67,93.96,94.52,77.97,101.96,94.79,77.19,102.2,76.91,47.8,100.47,104.5,0.9,''
18-01-2018 11:15,PT15M,Onshore,Flanders,Elia,37.89,24.93,18.2,33.62,40,32.87,46.18,39.61,32.49,46.23,33.3,18.65,47.32,53.86,0.7,''
18-01-2018 11:00,PT15M,Onshore,Flanders,Dso,533.09,549.76,426.02,701.07,744.63,620.65,852.01,745.67,619.57,854.76,577.75,325.57,816.31,990.66,0.54,''
18-01-2018 11:00,PT15M,Onshore,Wallonia,Dso,348.59,376.43,302.38,473.06,484.63,417.4,537.38,488.88,422.09,540.77,418.48,269.92,539.51,595.7,0.59,''
18-01-2018 11:00,PT15M,Offshore,Federal,Elia,829.14,311.67,178.17,410.34,353.54,268.45,438.63,308.75,208.23,409.18,728.7,556.08,852.59,877.2,0.95,''
18-01-2018 11:00,PT15M,Onshore,Flanders,Elia,35.81,23.05,16.46,32.34,39.5,32.67,45.61,39.22,32.36,45.77,33.31,18.7,47.33,53.86,0.66,''
18-01-2018 11:00,PT15M,Onshore,Wallonia,Elia,86.73,79.98,67.9,92.42,94.93,80.58,101.61,95.12,79.96,101.9,77.11,48.11,100.43,104.5,0.83,''
18-01-2018 10:45,PT15M,Onshore,Flanders,Elia,34,34.72,28.08,41.36,39.27,32.91,45.11,39.11,32.72,45.34,33.29,18.69,47.26,53.86,0.63,''
18-01-2018 10:45,PT15M,Onshore,Flanders,Dso,549.24,711.15,585.84,821.98,746.54,628.28,849.27,748.31,628.37,852.34,576.94,325.6,812.9,990.66,0.55,''
18-01-2018 10:45,PT15M,Offshore,Federal,Elia,822.17,233.6,112.24,392.4,335.74,248.28,423.2,308.23,208.46,407.91,736.97,561.43,860.07,877.2,0.94,''
18-01-2018 10:45,PT15M,Onshore,Wallonia,Elia,86.98,94.24,82.84,99.88,95.15,82.26,101.55,95.16,81.63,101.83,77.19,48.28,100.36,104.5,0.83,''
18-01-2018 10:45,PT15M,Onshore,Wallonia,Dso,345.7,455.61,383.05,519.16,485.55,421.3,536.2,490.4,426.32,540.68,418.98,270.07,539.57,595.7,0.58,''
18-01-2018 10:30,PT15M,Offshore,Federal,Elia,632.65,223.25,108.81,383.82,336.13,249.55,422.7,325.15,227.34,422.86,738.03,560.09,860.11,877.2,0.72,''
18-01-2018 10:30,PT15M,Onshore,Flanders,Dso,548.19,714.01,593.6,820.69,748.63,635.18,847.63,751.22,636.67,850.96,574.9,324.6,808.35,990.66,0.55,''
18-01-2018 10:30,PT15M,Onshore,Flanders,Elia,28.12,34.97,28.92,41.01,39.3,33.57,44.65,39.31,33.57,44.94,33.24,18.64,47.11,53.86,0.52,''
18-01-2018 10:30,PT15M,Onshore,Wallonia,Elia,84.8,94.08,83.04,100.07,95.16,83.02,101.75,94.91,82.22,101.99,77.14,48.33,100.27,104.5,0.81,''
18-01-2018 10:30,PT15M,Onshore,Wallonia,Dso,352.76,456.45,386.05,519.33,487.2,425.03,536.31,491.89,429.53,541.53,418.97,269.63,539.41,595.7,0.59,''
18-01-2018 10:15,PT15M,Onshore,Wallonia,Dso,343.81,457.29,389.06,519.48,488.85,428.76,536.42,493.38,432.74,542.37,418.95,269.2,539.25,595.7,0.58,''
18-01-2018 10:15,PT15M,Onshore,Flanders,Dso,518.34,716.87,601.35,819.4,750.72,642.07,845.98,754.13,644.96,849.58,572.87,323.6,803.79,990.66,0.52,''
